Crop,ScientificName,Symbol,NuContAvailable,PlantPartHarvested,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,YieldUnitWeight(lb)_Bau,YieldUnitWeight(lb)_Joh,YieldUnitWeight(lb)_Roberts,YieldUnitWeight(lb)_WEEP,YieldUnitWeight(lb)_Men,YieldUnitWeight(lb)_Guy,YieldUnitWeight(lb)_Mc,YieldUnitWeight(lb)_Mah,YieldUnitWeight(lb)_Sha,YieldUnitWeight(lb)_Sch,YieldUnitWeight(lb)_Atu,YieldUnitWeight(lb)_Zim,YieldUnitWeight(lb)_Scu,YieldUnitWeight(lb)_John,YieldUnitWeight(lb)_Arc,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,DryMatter%_F&N,DryMatter%_Alb,DryMatter%_Est1,DryMatter%_Est2,DryMatter%_Est3,DryMatter%_Est4,DryMatter%_Est5,DryMatter%_Est6,DryMatter%_M&R,DryMatter%_M&L,DryMatter%_Sun,DryMatter%_Gro,DryMatter%_AgH8-9,DryMatter%_AgH8-12,DryMatter%_B788,AvDryMatter%,N%(dry)_NAS,N%(dry)_F&L,N%(dry)_F&N,N%(dry)_Swa,N%(dry)_Chapko,N%(dry)_Hill,N%(dry)_Bru,N%(dry)_AgH8-9,N%(dry)_AgH8-12,N%(dry)_B788,N%(dry)_M&L,N%(dry)_M-FF,N%(dry)_M&R,N%(dry)_Foster,N%(dry)_Rob1,N%(dry)_Rob2,N%(dry)_Coa,N%(dry)_And,N%(dry)_Gol1,N%(dry)_Gol2,N%(dry)_Wol,N%(dry)_Pete,N%(dry)_Col,N%(dry)_Alb,N%(dry)_Arc,N%(dry)_Bis,N%(dry)_Gar,N%(dry)_Heg,N%(dry)_Flo,N%(dry)_Feil,N%(dry)_Bre,N%(dry)_Burns,N%(dry)_Coc,P%(dry)_M-FF,P%(dry)_NAS,P%(dry)_F&L,P%(dry)_F&N,P%(dry)_AgH8-9,P%(dry)_AgH8-12,P%(dry)_B788,P%(dry)_M&L,P%(dry)_L&V,P%(dry)_Foster,P%(dry)_Rob1,P%(dry)_Rob2,P%(dry)_Coa,P%(dry)_And,P%(dry)_Gol1,P%(dry)_Gol2,P%(dry)_Sims,P%(dry)_Wol,P%(dry)_Pete,P%(dry)_Col,P%(dry)_Alb,P%(dry)_Arc,P%(dry)_Swa,P%(dry)_Rei,K%(dry)_M-FF,K%(dry)_NAS,K%(dry)_F&L,K%(dry)_F&N,K%(dry)_AgH8-9,K%(dry)_AgH8-12,K%(dry)_B788,K%(dry)_Foster,K%(dry)_Rob1,K%(dry)_Rob2,K%(dry)_Coa,K%(dry)_And,K%(dry)_Gol1,K%(dry)_Gol2,K%(dry)_Sims,K%(dry)_Wol,K%(dry)_Pete,K%(dry)_Col,K%(dry)_Alb,K%(dry)_Arc,K%(dry)_Swa,K%(dry)_Rei,Moisture%_M&R,Moisture%_M&L,Moisture%_Sun,Moisture%_Gro,gWater/100g_AgH8-9,gWater/100g_AgH8-12,gWater/100g_B788,Protein%(dry)_NAS,Protein%(dry)_F&L,Protein%(dry)_F&N,Protein%(dry)_Swa,Protein%(dry)_Chapko,Protein%(dry)_Hill,Protein%(dry)_Bru,Protein%(dry)_Bis,Protein%(dry)_Gar,Protein%(dry)_Heg,Protein%(dry)_Flo,Protein%(dry)_Feil,Protein%(dry)_Bre,Protein%(dry)_Burns,gProtein/100g(wet)_AgH8-9,gProtein/100g(wet)_AgH8-12,gProtein/100g(wet)_B788,Protein%(wet)_M&L,N%(wet)_M-FF,P%(wet)_M-FF,gP/100g(wet)_AgH8-9,gP/100g(wet)_AgH8-12,gP/100g(wet)_B788,P%(wet)_M&L,K%(wet)_M-FF,gK/100g(wet)_AgH8-9,gK/100g(wet)_AgH8-12,gK/100g(wet)_B788,
"Alfalfa, for green chop (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.1,2.952,0.31,3.1,"2,000",,,,,,,,,,,,,,,,,24.3,23.5,,,,,,,,,,,,,,,,23.9,2.928,2.976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,,,,,,,,,,,,0.36,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,18.3,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,74.6,2.864,0.38,2.95,"2,000",,,,,,,,,,,,,,,,,25.4,,,,,,,,,,,,,,,,,25.4,2.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,,,,,,,,,,,,,,,,,,2.95,,,,,,,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (early bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,74.35,3.288,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,23,28.3,,,,,,,,,,,,,,,,25.65,3.52,3.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.05,2.796419204,0.270739477,2.890978261,"2,000",,,,,,,,,,,,,,,,25.3,24.7,27.9,24,,,,,,,,25,22.8,,,,,,24.95,2.832,3.104,3.072,,,,,,,,2.245614035,2.924901186,2.6,,,,,,,,,,,,,,,,,,,,,0.276679842,0.27,0.24,0.26,,,,0.307017544,,,,,,,,,,,,,,,,,2.173913044,2.13,3.63,3.63,,,,,,,,,,,,,,,,,,,75,77.2,,,,,,17.7,19.4,19.2,,,,,,,,,,,,,,,3.2,0.74,0.07,,,,0.07,0.55,,,,
"Alfalfa, for green chop (full bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.3,2.528,0.4,2.88,"2,000",,,,,,,,,,,,,,,,,24.7,24.7,,,,,,,,,,,,,,,,24.7,2.528,2.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,15.8,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (full bloom, cut 2)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.4,2.256,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,26.7,30.5,,,,,,,,,,,,,,,,28.6,2.352,2.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (full bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,71.2,2.208,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,,28.8,,,,,,,,,,,,,,,,28.8,,2.208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (mid bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,75.08,3.158580237,0.29166996,2.713478261,"2,000",,,,,,,,,,,,,,,,25.3,24.2,26.1,24,,,,,,,,25,,,,,,,24.92,3.264,3.472,3.232,,,,,,,,,2.924901186,2.9,,,,,,,,,,,,,,,,,,,,,0.276679842,0.28,0.3,0.31,,,,,,,,,,,,,,,,,,,,,2.173913044,2.06,3.31,3.31,,,,,,,,,,,,,,,,,,,75,,,,,,,20.4,21.7,20.2,,,,,,,,,,,,,,,,0.74,0.07,,,,,0.55,,,,
"Alfalfa, for green chop (mid bloom, cut 1)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,77.9,2.496,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,22.1,,,,,,,,,,,,,,,,,22.1,2.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (mid bloom, cut 2)",Medicago sativa,MESA,"P,K",Aboveground biomass,Forage,ton,2000,76.8,#DIV/0!,0.43,3.25,"2,000",,,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (pre bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,78.34,3.487117588,0.343919598,2.267952261,"2,000",,,,,,,,,,,,,,,,19.9,20.9,22.5,20,,,,,,,,25,,,,,,,21.66,3.392,3.6,3.376,,,,,,,,,3.51758794,3.55,,,,,,,,,,,,,,,,,,,,,0.351758794,0.35,,0.33,,,,,,,,,,,,,,,,,,,,,2.361809045,2.36,2.21,2.14,,,,,,,,,,,,,,,,,,,75,,,,,,,21.2,22.5,21.1,,,,,,,,,,,,,,,,0.7,0.07,,,,,0.47,,,,
"Alfalfa, for green chop (pre bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,82.9,3.488,0.39,3.4,"2,000",,,,,,,,,,,,,,,,,17.1,17.1,,,,,,,,,,,,,,,,17.1,3.488,3.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,21.8,21.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (pre bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,76.95,3.376,0.375,3.39,"2,000",,,,,,,,,,,,,,,,,23.1,23,,,,,,,,,,,,,,,,23.05,3.28,3.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,3.39,,,,,,,,20.5,21.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for green chop (pre bloom, cut 3)",Medicago sativa,MESA,N,Aboveground biomass,Forage,ton,2000,76.8,3.92,#DIV/0!,#DIV/0!,"2,000",,,,,,,,,,,,,,,,,23.2,23.2,,,,,,,,,,,,,,,,23.2,3.92,3.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.65,2.78879558,0.261298343,2.119198895,"2,000",,,,,,,,,,,,,,,,90.5,91.4,89.5,90,,,,,,,,,,,,,,,90.35,2.72,2.896,2.832,,,,,,,,,2.70718232,,,,,,,,,,,,,,,,,,,,,,0.26519337,0.24,0.28,0.26,,,,,,,,,,,,,,,,,,,,,2.17679558,2.18,2.07,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,17,18.1,17.7,,,,,,,,,,,,,,,,2.45,0.24,,,,,1.97,,,,
"Alfalfa, for hay (cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.9,2.616,0.35,2.48,"2,000",,,,,,,,,,,,,,,,,89.4,90.8,,,,,,,,,,,,,,,,90.1,2.304,2.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.21,,,,,,,,,,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.35,2.856,0.285,1.92,"2,000",,,,,,,,,,,,,,,,,89.9,91.4,,,,,,,,,,,,,,,,90.65,2.64,3.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0.22,,,,,,,,,,,,,,,,,,,,,,,1.29,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.3,2.968,0.19,2.47,"2,000",,,,,,,,,,,,,,,,,89.3,90.1,,,,,,,,,,,,,,,,89.7,2.736,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.21,,,,,,,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (early bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,10.58,3.054446409,0.228798343,2.344198895,"2,000",,,,,,,,,,,,,,,,90.5,90.1,90.5,91,,,,,,,,85,,,,,,,89.42,3.152,3.184,3.168,,,,,,,,,2.718232044,3.05,,,,,,,,,,,,,,,,,,,,,0.26519337,0.21,0.22,0.22,,,,,,,,,,,,,,,,,,,,,2.17679558,2.08,2.56,2.56,,,,,,,,,,,,,,,,,,,15,,,,,,,19.7,19.9,19.8,,,,,,,,,,,,,,,,2.46,0.24,,,,,1.97,,,,
"Alfalfa, for hay (early bloom, cut 1)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,9.3,2.736,0.255,2.465,"2,000",,,,,,,,,,,,,,,,,90.2,91.2,,,,,,,,,,,,,,,,90.7,2.448,3.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.24,,,,,,,,,,,,,,,,,,,,,,,2.49,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (early bloom, cut 2)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12,3.168,0.255,2.54,"2,000",,,,,,,,,,,,,,,,,87,89,,,,,,,,,,,,,,,,88,3.328,3.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.25,,,,,,,,,,,,,,,,,,,,,,,2.64,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,20.8,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (early bloom, cut 3)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,12.95,3.248,0.27,2.84,"2,000",,,,,,,,,,,,,,,,,85.9,88.2,,,,,,,,,,,,,,,,87.05,3.36,3.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.23,,,,,,,,,,,,,,,,,,,,,,,2.71,2.97,,,,,,,,,,,,,,,,,,,,,,,,,,,21,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (full bloom)",Medicago sativa,MESA,"N,P,K",Aboveground biomass,Forage,ton,2000,11.12,2.618647514,0.238273481,1.764198895,"2,000",,,,,,,,,,,,,,,,90.5,87.6,90.3,91,,,,,,,,85,,,,,,,88.88,2.656,2.72,2.72,,,,,,,,,2.497237569,2.5,,,,,,,,,,,,,,,,,,,,,0.243093923,0.23,0.24,0.24,,,,,,,,,,,,,,,,,,,,,2.17679558,1.76,1.56,1.56,,,,,,,,,,,,,,,,,,,15,,,,,,,16.6,17,17,,,,,,,,,,,,,,,,2.26,0.22,,,,,1.97,,,,
